date	name	commits	defunct name	files	notes
					
2017-07-16	eval	57886db		libs/repl.gst	
					
2017-07-16	macroexpand	a39a6fd		libs/bootstrap.gst	
2017-07-16	defn	a39a6fd		libs/bootstrap.gst	
2017-07-16	defmacro	a39a6fd		libs/bootstrap.gst	
2017-07-16	comment	a39a6fd		libs/bootstrap.gst	
					
2018-01-28	compile	8fe9881		src/compiler/compile.c	
					
2018-01-30	when	ce5708a,50bfa8d		test/boot.dst	
2018-01-30	seq	ce5708a,50bfa8d		test/boot.dst	
2018-01-30	range	ce5708a,50bfa8d		test/boot.dst	
2018-01-30	map	ce5708a,50bfa8d		test/boot.dst	
2018-01-30		ce5708a,50bfa8d,5738f6c	doseq	test/boot.dst	renamed to doiter in 5738f6c, doiter removed in 73ead5c
					
2018-02-01	reduce	50bfa8d		src/compiler/boot.dst	
2018-02-01	for	50bfa8d,f5b4bc4,b0c45fd,e653752		src/compiler/boot.dst	for changed to its more recent form in b0c45fd
					
2018-02-07	identity	3e1f031		src/compiler/boot.dst	
2018-02-07	require	3e1f031		src/compiler/boot.dst	
					
2018-02-08	or	e047b39.5f0bd1e		src/compiler/boot.dst	
2018-02-08	and	e047b39,5f0bd1e		src/compiler/boot.dst	
					
2018-03-12	let	807f981		src/compiler/boot.dst	
2018-03-12	even?	807f981		src/compiler/boot.dst	
2018-03-12	odd?	807f981		src/compiler/boot.dst	
					
2018-03-12	cond	3b26581		src/compiler/boot.dst	
2018-03-12	doc	3b26581		src/compiler/boot.dst	
2018-03-12	make-env	3b26581		src/compiler/boot.dst	
2018-03-12	run-context	3b26581		src/compiler/boot.dst	
2018-03-12	import	3b26581		src/compiler/boot.dst	
2018-03-12	repl	3b26581		src/compiler/boot.dst	
					
2018-03-14	inc	2b1dd79		src/compiler/boot.dst	
2018-03-14	dec	2b1dd79		src/compiler/boot.dst	
					
2018-03-14	filter	9cb7c92		src/compiler/boot.dst	
2018-03-14	nil?	9cb7c92		src/compiler/boot.dst	
2018-03-14	zero?	9cb7c92		src/compiler/boot.dst	
2018-03-14	one?	9cb7c92		src/compiler/boot.dst	
2018-03-14	make-env	9cb7c92		src/compiler/boot.dst	
					
2018-03-17	++	8da838e		src/compiler/boot.dst	
2018-03-17	--	8da838e		src/compiler/boot.dst	
2018-03-17	+=	8da838e		src/compiler/boot.dst	
